Date	Time	Open	High	Low	Close	Vol	OI	2009	2010	2011	2012	2013	2014	2015	2016	2017
12/31/2008	17:00	13.155	13.585	12.925	13.455	7326	52138									
1/2/2009	17:00	13.565	13.76	13.175	13.65	10266	52418	0.014492754								
1/5/2009	17:00	13.745	13.93	12.73	13.43	19340	52425	-0.016117216								
1/6/2009	17:00	13.4	13.71	12.95	13.605	18125	52865	0.013030529								
1/7/2009	17:00	13.64	13.765	13.04	13.265	20698	52437	-0.024990812								
1/8/2009	17:00	13.22	13.51	12.955	13.257	17500	51739	-0.000603091								
1/9/2009	17:00	13.305	13.79	13.125	13.48	19070	52450	0.016821302								
1/12/2009	17:00	13.43	13.46	12.7	12.79	18218	51636	-0.051186944								
1/13/2009	17:00	12.82	13.005	12.575	12.895	17691	50718	0.008209539								
1/14/2009	17:00	12.895	13.05	12.495	12.635	18479	51224	-0.020162854								
1/15/2009	17:00	12.69	12.835	12.48	12.6	15781	50554	-0.002770083								
1/16/2009	17:00	12.735	13.465	12.735	13.43	21756	51916	0.065873016								
1/19/2009	17:00	13.46	13.51	13.245	13.33	21756	51916	-0.007446016								
1/20/2009	17:00	13.325	13.565	13.08	13.34	18683	51292	0.000750188								
1/21/2009	17:00	13.345	13.665	13.2	13.455	16993	50842	0.00862069								
1/22/2009	17:00	13.47	13.645	13.365	13.535	13770	51770	0.005945745								
1/23/2009	17:00	13.55	14.235	13.42	14.12	28266	52841	0.043221278								
1/26/2009	17:00	14.105	14.445	13.985	14.195	17641	53019	0.005311615								
1/27/2009	17:00	14.185	14.38	14.015	14.215	18382	52604	0.001408947								
1/28/2009	17:00	14.22	14.325	13.975	14.095	14880	52493	-0.008441787								
1/29/2009	17:00	14.115	14.61	13.795	14.5	19931	53364	0.028733593								
1/30/2009	17:00	14.5	14.82	14.375	14.805	24039	52566	0.021034483								
2/2/2009	17:00	14.815	14.815	14.335	14.56	15614	52131	-0.016548463								
2/3/2009	17:00	14.56	14.63	14.295	14.595	17920	50275	0.002403846								
2/4/2009	17:00	14.585	14.75	14.465	14.66	13007	49920	0.00445358								
2/5/2009	17:00	14.655	15.08	14.43	15.005	20055	48209	0.023533424								
2/6/2009	17:00	15.025	15.34	14.9	15.24	18271	47869	0.015661446								
2/9/2009	17:00	15.275	15.275	14.945	14.965	16897	46234	-0.018044619								
2/10/2009	17:00	14.965	15.375	14.885	15.28	21212	46232	0.021049115								
2/11/2009	17:00	15.28	15.83	15.23	15.66	25762	43497	0.02486911								
2/12/2009	17:00	15.66	15.88	15.45	15.615	19882	42988	-0.002873563								
2/13/2009	17:00	15.61	15.845	15.38	15.79	17782	41446	0.011207173								
2/17/2009	17:00	15.71	16.36	15.64	16.235	26478	39032	0.028182394								
2/18/2009	17:00	16.24	16.53	16.14	16.47	23493	37483	0.0144749								
2/19/2009	17:00	16.475	16.53	16.01	16.16	27616	33974	-0.018822101								
2/20/2009	17:00	16.14	16.74	16.125	16.545	20617	31718	0.023824257								
2/23/2009	17:00	16.54	16.76	16.22	16.55	28651	29358	0.000302206								
2/24/2009	17:00	16.545	16.735	15.84	15.905	51130	18247	-0.03897281								
2/25/2009	17:00	15.895	16.28	15.7	15.855	42095	9039	-0.003143666								
2/26/2009	17:00	15.835	15.88	15.075	15.275	25040	53621	-0.03658152								
2/27/2009	17:00	15.28	15.525	14.98	15.265	21327	53621	-0.000654664								
3/2/2009	17:00	15.255	15.53	14.855	15.09	21988	53798	-0.011464134								
3/3/2009	17:00	15.065	15.105	14.585	14.87	18579	53564	-0.014579192								
3/4/2009	17:00	14.955	15.16	14.855	15.07	17197	53137	0.013449899								
3/5/2009	17:00	15.1	15.465	15.045	15.275	13690	52912	0.013603185								
3/6/2009	17:00	15.415	15.675	15.37	15.488	14856	52045	0.013944354								
3/9/2009	17:00	15.49	15.54	14.915	15.095	16930	52208	-0.025374483								
3/10/2009	17:00	15.105	15.145	14.62	14.695	16716	51596	-0.026498841								
3/11/2009	17:00	14.735	15.03	14.665	14.955	10963	50809	0.017693093								
3/12/2009	17:00	14.94	15.235	14.795	15.098	14316	51395	0.009562019								
3/13/2009	17:00	15.115	15.44	15.04	15.37	12099	50942	0.018015631								
3/16/2009	17:00	15.355	15.355	14.925	15.045	11913	50820	-0.021145088								
3/17/2009	17:00	15.08	15.145	14.785	14.825	12216	50297	-0.014622798								
3/18/2009	17:00	14.86	15.155	14.045	14.09	30351	49798	-0.049578415								
3/19/2009	17:00	15.025	15.84	14.795	15.675	27436	49666	0.112491128								
3/20/2009	17:00	15.73	16.005	15.565	15.995	15694	49513	0.020414673								
3/23/2009	17:00	15.895	16.04	15.77	16.03	12777	50100	0.002188184								
3/24/2009	17:00	15.81	15.895	15.415	15.512	16756	50094	-0.03231441								
3/25/2009	17:00	15.595	15.77	15.11	15.592	18523	50002	0.005157298								
3/26/2009	17:00	15.63	15.9	15.555	15.775	11737	49452	0.011736788								
3/27/2009	17:00	15.635	15.73	15.23	15.418	13601	49341	-0.022630745								
3/30/2009	17:00	15.425	15.505	15.07	15.188	15103	49156	-0.014917629								
3/31/2009	17:00	15.185	15.415	14.725	15.14	21519	48834	-0.00316039								
4/1/2009	17:00	15.14	15.325	14.98	15.13	12683	47527	-0.000660502								
4/2/2009	17:00	15.175	15.31	14.715	15.18	20680	47423	0.003304693								
4/3/2009	17:00	15.095	15.15	14.805	14.89	12961	46820	-0.019104084								
4/6/2009	17:00	14.955	14.955	14.23	14.265	18422	46604	-0.04197448								
4/7/2009	17:00	14.255	14.49	14.175	14.365	15499	44855	0.007010165								
4/8/2009	17:00	14.41	14.625	14.305	14.495	17023	42476	0.009049774								
4/9/2009	17:00	14.405	14.55	14.265	14.485	13889	40144	-0.000689893								
4/13/2009	17:00	14.52	15.025	14.505	14.923	14208	38584	0.030238177								
4/14/2009	17:00	14.87	14.95	14.705	14.92	13476	37075	-0.000201032								
4/15/2009	17:00	14.885	15.075	14.8	14.955	10764	36610	0.002345845								
4/16/2009	17:00	14.905	14.955	14.28	14.41	20320	35113	-0.036442661								
4/17/2009	17:00	14.39	14.405	13.93	13.945	20056	34832	-0.032269257								
4/20/2009	17:00	14.01	14.32	13.88	14.26	14029	33839	0.022588741								
4/21/2009	17:00	14.21	14.39	14.02	14.215	15686	32355	-0.00315568								
4/22/2009	17:00	14.175	14.485	14.145	14.46	18838	30531	0.017235315								
4/23/2009	17:00	14.435	15.015	14.435	14.91	23813	29262	0.031120332								
4/24/2009	17:00	14.91	15.095	14.805	15.075	20054	21483	0.011066398								
4/27/2009	17:00	15.05	15.395	14.93	15.11	22703	17097	0.002321725								
4/28/2009	17:00	15.025	15.105	14.485	14.555	24431	9441	-0.036730642								
4/29/2009	17:00	14.6	14.965	14.535	14.909	17803	4365	0.024321539								
4/30/2009	17:00	14.934	14.954	14.319	14.459	17562	51217	-0.030183111								
5/1/2009	17:00	14.459	14.754	14.159	14.634	12524	51419	0.012103188								
5/4/2009	17:00	14.634	15.289	14.574	15.247	16948	51807	0.041888752								
5/5/2009	17:00	15.184	15.749	15.129	15.554	22499	52030	0.020135109								
5/6/2009	17:00	15.439	15.969	15.404	15.844	19614	53611	0.018644722								
5/7/2009	17:00	15.874	16.284	15.804	16.164	21781	55691	0.02019692								
5/8/2009	17:00	15.974	16.199	15.914	16.089	14993	56091	-0.004639941								
5/11/2009	17:00	16.144	16.169	15.814	16.044	10829	56814	-0.002796942								
5/12/2009	17:00	16.069	16.474	15.974	16.349	16725	56988	0.019010222								
5/13/2009	17:00	16.349	16.504	16.014	16.154	16533	56088	-0.011927335								
5/14/2009	17:00	16.124	16.224	15.844	16.174	13092	56483	0.001238083								
5/15/2009	17:00	16.179	16.324	15.994	16.144	14084	56115	-0.001854829								
5/18/2009	17:00	16.114	16.214	15.764	15.964	14829	56092	-0.011149653								
5/19/2009	17:00	15.874	16.429	15.864	16.259	14646	57576	0.018479078								
5/20/2009	17:00	16.334	16.524	16.234	16.414	16941	57046	0.009533182								
5/21/2009	17:00	16.394	16.704	16.224	16.579	17367	57608	0.010052394								
5/22/2009	17:00	16.684	16.994	16.564	16.829	18680	58092	0.015079317								
5/26/2009	17:00	16.894	16.894	16.444	16.734	18595	58839	-0.005645018								
5/27/2009	17:00	16.759	17.154	16.524	16.999	23056	59555	0.015836022								
5/28/2009	17:00	16.919	17.409	16.784	17.294	21688	60492	0.017353962								
5/29/2009	17:00	17.314	17.929	17.279	17.744	26491	60097	0.026020585								
6/1/2009	17:00	17.744	18.104	17.674	17.729	22775	59697	-0.000845356								
6/2/2009	17:00	17.759	18.154	17.584	18.089	28245	58503	0.020305714								
6/3/2009	17:00	18.094	18.384	17.389	17.444	35390	57953	-0.035657029								
6/4/2009	17:00	17.479	18.079	17.199	18.029	32194	58575	0.033535886								
6/5/2009	17:00	18.059	18.114	17.294	17.522	34914	53855	-0.02812136								
6/8/2009	17:00	17.384	17.594	16.869	17.089	28463	51224	-0.024711791								
6/9/2009	17:00	17.049	17.479	16.884	17.274	23733	49340	0.010825677								
6/10/2009	17:00	17.369	17.634	17.159	17.359	29498	47671	0.00492069								
